the_review,topics
"the mouse itself was fine at first, worked great and i liked the shape and sound. but the wheel started to squeak, and it always scrolled too fast for my liking. and now the mouse won’t work at all, always jumping around the screen, spinning, lagging, or unresponsive. really annoying when i’m trying to play games. it does this when the battery is getting low too. not a fan. it works sometimes flat on my desktop but then it slowly gets worse and worse as the night goes on. and now it won’t even read on my mousepad at all? it HAS to be on the desktop to make it work, even poorly.",mouse
"I really loved this mouse.  I did not replace it with the same mouse, however because the wheel broke.  I only use this device M-F for work.  I'm not a gamer or anything like that.  I've had wireless mice that do not break for years previously.  Great color, very cool looking.  Will miss using this.  Not sure if there is any warranty",mouse
Be sure your computer is on in order to see the lights on the white mouse :) was so close to returning it as my other mouse with lights was always on regardless of my computer. But glad I problem solved my own problem!,mouse
Cute mouse . . . I just love how it lights up with the different colors.,mouse
It had worked very well for me for about 2 years and it’s very aesthetic!,headphone
"It is quite nice, it has an interesting style and the colored lights give it a special touch, unfortunately in terms of performance is lousy, the sleep mode seems to fail constantly, sometimes it turns off for no reason and stops working for a while (being fully charged) so it must be damaged internally. Very disappointed with this product, no matter how nice it is it is not worth buying if it does not fulfill its main function.",mouse
Love how Amazon is fast and product is great,headphone
Great purchase,headphone
"Pretty easy to use and set up, comes with a charger. I expected the lights to be a bit more appealing but they’re mainly just solid colors when you have it on the led light mode. Fits snug with my hands and does the job for the most part so complain. Probably wouldn’t use for gaming purposes though.",mouse
The product is good and operates well.,headphone
I love it,headphone
"My son wanted this for his Macbook, so I will tell you it needs an adapter. The Macbook doesn’t have a USB port. But after that he is pleased with the performance. He uses it to play games too and says it is responsive.",mouse
Mouse is easy to use and works well. However the first time I put it in my bag the color chipped off the mouse. Now I have a teal mouse with white specks. Super disappointed,mouse
This is the cheapest thing I have ever seen the quality is horrible! Holding it in my hand feels like it weighs nothing it is extremely cheap. The lights are neat tho. They should be ashamed selling this for anymore then 2$,mouse
Charge didn’t last all day and then delay kept getting longer. I simply don’t have time to hook it to a cord and there’s no battery charge option.,keyboard_speakers
Great product but a little too flat for me.,mouse
Love it will have to but another one....,headphone
"works well, silent, durable (so far so good)",headphone
Mouse works well and holds a charge for several 8 hour work days. Only drawback for me is that the scroll wheel is loud.,mouse
Easy to use and lite weight. I will purchase another one soon,mouse
"if you want an led mouse for aesthetics, dont buy this brand.this has a flashing red led that is seperate from the rgb leds, & it stays on even when the led switch is not on.",mouse
Easy and fits my hand. I have some numbness in my right hand.,mouse
"DON'T BUY IT. IT CAN'T HOLD A CHARGE, IT MOVES ON IT'S OWN, AND WAS WAY TOO EXPENSIVE FOR HOW CRAPPY IT WAS.",keyboard_speakers
Red lights stays on and nothing happens.  Really like this mouse until this happened.,mouse
Slim in the hand and works great!,mouse
"Cute mouse! I love the blue on it, and the lights are a cute touch. Its very lightweight! Very quiet! no clicking sounds from the mouse which is great.",mouse
"This mouse is super cute! It is lightweight, and the color matched perfectly to the picture (I got dark gray to match my Macbook Pro). The click is silent, which I love. The LED lights are bright and colorful. There is also a setting where you can just have red lights, but I love the color changing. The only downside is that this mouse does not hold a charge long enough to last my entire workday. I've started switching it off when I am away from my desk, and that help some. Charging is simple, though.",mouse
